state,date,confirmed_infections,top_10
Alabama,2020-04-08,159.0,0
Alabama,2020-04-09,375.0,0
Alabama,2020-04-10,244.0,0
Alabama,2020-04-11,270.0,0
Alabama,2020-04-12,346.0,0
Alabama,2020-04-13,171.0,0
Alabama,2020-04-14,219.0,0
Alabama,2020-04-15,122.0,0
Alabama,2020-04-16,270.0,0
Alabama,2020-04-17,226.0,0
Alabama,2020-04-18,141.0,0
Alabama,2020-04-19,176.0,0
Alabama,2020-04-20,167.0,0
Alabama,2020-04-21,241.0,0
Alabama,2020-04-22,276.0,0
Alabama,2020-04-23,244.0,0
Alabama,2020-04-24,16.0,0
Alabama,2020-04-25,375.0,0
Alabama,2020-04-26,63.0,0
Alabama,2020-04-27,269.0,0
Alabama,2020-04-28,211.0,0
Alabama,2020-04-29,162.0,0
Alabama,2020-04-30,176.0,0
Alaska,2020-04-08,13.0,1
Alaska,2020-04-09,9.0,1
Alaska,2020-04-10,11.0,1
Alaska,2020-04-11,11.0,1
Alaska,2020-04-12,15.0,1
Alaska,2020-04-13,5.0,1
Alaska,2020-04-14,8.0,1
Alaska,2020-04-15,8.0,1
Alaska,2020-04-16,7.0,1
Alaska,2020-04-17,9.0,1
Alaska,2020-04-18,5.0,1
Alaska,2020-04-19,5.0,1
Alaska,2020-04-20,2.0,1
Alaska,2020-04-21,8.0,1
Alaska,2020-04-22,6.0,1
Alaska,2020-04-23,2.0,1
Alaska,2020-04-24,2.0,1
Alaska,2020-04-25,0.0,1
Alaska,2020-04-26,1.0,1
Alaska,2020-04-27,5.0,1
Alaska,2020-04-28,6.0,1
Alaska,2020-04-29,4.0,1
Alaska,2020-04-30,0.0,1
Arkansas,2020-04-08,54.0,0
Arkansas,2020-04-09,119.0,0
Arkansas,2020-04-10,52.0,0
Arkansas,2020-04-11,57.0,0
Arkansas,2020-04-12,52.0,0
Arkansas,2020-04-13,130.0,0
Arkansas,2020-04-14,88.0,0
Arkansas,2020-04-15,71.0,0
Arkansas,2020-04-16,51.0,0
Arkansas,2020-04-17,75.0,0
Arkansas,2020-04-18,49.0,0
Arkansas,2020-04-19,37.0,0
Arkansas,2020-04-20,192.0,0
Arkansas,2020-04-21,17.0,0
Arkansas,2020-04-22,286.0,0
